Date,Open,High,Low,Close,Volume,,,
2023-10-04,3760.00,3909.949951,3760,3872.95,1737108,2023-10-04,,
2023-10-05,3880.00,3938.399902,3842.050049,3861.50,607632,2023-10-05,,
2023-10-06,3860.00,3890.800049,3786.75,3833.95,345055,2023-10-06,,
2023-10-09,3809.60,3818,3771,3798.60,278929,2023-10-09,,
2023-10-10,3809.95,3829.850098,3775.550049,3793.80,284836,2023-10-10,,
2023-10-11,3812.50,3889,3804.300049,3852.05,304828,2023-10-11,,
2023-10-12,3874.80,3890,3820.300049,3862.75,226262,2023-10-12,,
2023-10-13,3853.95,3941,3836.050049,3935.85,554574,2023-10-13,,
2023-10-16,3825.05,3873.899902,3772.75,3856.80,1102582,2023-10-16,,
2023-10-17,3879.15,3885,3834.300049,3842.85,394330,2023-10-17,,
2023-10-18,3842.85,3853.100098,3776.25,3795.95,356321,2023-10-18,,
2023-10-19,3790.00,3790,3746.850098,3766.85,168075,2023-10-19,,
2023-10-20,3760.05,3780.949951,3742.100098,3749.50,200038,2023-10-20,,
2023-10-23,3750.05,3768,3641.350098,3668.95,297128,2023-10-23,,
2023-10-25,3685.00,3755,3620.100098,3740.55,333022,2023-10-25,,
2023-10-26,3728.05,3731.949951,3662,3684.65,289964,2023-10-26,,2024-10-04
2023-10-27,3700.00,3758,3651,3665.45,365480,2023-10-27,Open,4875
2023-10-30,3686.70,3688,3624.25,3646.65,254298,2023-10-30,High,4875
2023-10-31,3657.65,3671.25,3620,3633.40,820386,2023-10-31,Low,4696.100098
2023-11-01,3637.50,3660.600098,3621,3639.45,242467,2023-11-01,52 WEEK HIGH,5484.850098
2023-11-02,3639.00,3677.949951,3624.149902,3647.45,216100,2023-11-02,52 WEEK LOW,3620
2023-11-03,3667.60,3667.600098,3621.25,3649.70,316179,2023-11-03,,
2023-11-06,3654.55,3692.899902,3635.300049,3649.55,277254,2023-11-06,,
2023-11-07,3649.50,3667.949951,3636,3653.30,287032,2023-11-07,,
2023-11-08,3658.00,3727.949951,3658,3712.40,246719,2023-11-08,,
2023-11-09,3733.90,3765,3725,3747.60,248748,2023-11-09,,
2023-11-10,3750.00,3800,3738.550049,3798.40,205429,2023-11-10,,
2023-11-13,3809.95,3819.800049,3740.199951,3798.45,166502,2023-11-13,,
2023-11-15,3810.00,3814.949951,3750.100098,3791.95,372291,2023-11-15,,
2023-11-16,3795.00,3800,3765,3790.25,148945,2023-11-16,,
2023-11-17,3794.95,3843,3780,3810.90,266479,2023-11-17,,
2023-11-20,3810.90,3833,3771.699951,3792.90,252998,2023-11-20,,
2023-11-21,3796.00,3842,3796,3814.95,196060,2023-11-21,,
2023-11-22,3820.00,3873.850098,3812.350098,3838.25,200608,2023-11-22,,
2023-11-23,3848.00,3865,3798.949951,3844.40,201012,2023-11-23,,
2023-11-24,3820.00,3869,3799,3842.90,96391,2023-11-24,,
2023-11-28,3815.00,3934,3815,3912.15,449705,2023-11-28,,
2023-11-29,3915.00,3937,3841,3861.50,333845,2023-11-29,,
2023-11-30,3878.00,3962,3834,3949.75,698850,2023-11-30,,
2023-12-01,3969.65,3995,3931.149902,3988.40,380041,2023-12-01,,
2023-12-04,4000.00,4049,3950.050049,3967.10,389629,2023-12-04,,
2023-12-05,3950.00,4041,3949,4039.55,443420,2023-12-05,,
2023-12-06,4039.55,4175,4039,4137.15,861085,2023-12-06,,
2023-12-07,4140.05,4206,4095,4115.45,414582,2023-12-07,,
2023-12-08,4155.95,4170,4027.649902,4070.65,495575,2023-12-08,,
2023-12-11,4070.65,4075,4025.050049,4069.75,239939,2023-12-11,,
2023-12-12,4080.90,4100,4038.100098,4075.40,349447,2023-12-12,,
2023-12-13,4075.00,4075.399902,3945.100098,4033.05,388573,2023-12-13,,
2023-12-14,4044.95,4081,3996.050049,4070.05,264682,2023-12-14,,
2023-12-15,4085.00,4097.899902,4017,4045.65,300270,2023-12-15,,
2023-12-18,4045.00,4079.800049,4000,4010.15,221527,2023-12-18,,
2023-12-19,4010.00,4048.949951,3990.25,4021.35,185004,2023-12-19,,
2023-12-20,4011.00,4046.449951,3905,3965.90,244858,2023-12-20,,
2023-12-21,3950.00,4009.899902,3920.050049,3954.50,286850,2023-12-21,,
2023-12-22,3977.95,4015,3962.050049,4007.95,224831,2023-12-22,,
2023-12-26,4009.95,4038.199951,3995.350098,4023.45,299135,2023-12-26,,
2023-12-27,4020.00,4063.300049,4000,4027.45,349033,2023-12-27,,
